pitch_id,pitch_type,pitcher_handedness,ball_path_file,source_file,total_rows,tracked_rows,tracked_fraction,anchor_count,status,first_frame,last_frame,duration_frames,duration_sec,start_x,start_y,end_x,end_y,net_dx_px,net_dy_px,abs_net_dx_px,abs_net_dy_px,total_movement_px,path_length_px,direct_distance_px,straightness_ratio,avg_speed_px_per_frame,max_speed_px_per_frame,speed_std,avg_vx_px_per_frame,avg_vy_px_per_frame,vertical_to_horizontal_ratio,horizontal_to_vertical_ratio,max_perpendicular_deviation_px,mean_abs_perpendicular_deviation_px,max_signed_perpendicular_deviation_px,min_signed_perpendicular_deviation_px,quadratic_curvature_y_of_x,abs_quadratic_curvature,early_dx_px,early_dy_px,early_abs_dx_px,early_abs_dy_px,early_movement_px,early_slope_dy_dx,early_speed_px_per_frame,middle_dx_px,middle_dy_px,middle_abs_dx_px,middle_abs_dy_px,middle_movement_px,middle_slope_dy_dx,middle_speed_px_per_frame,late_dx_px,late_dy_px,late_abs_dx_px,late_abs_dy_px,late_movement_px,late_slope_dy_dx,late_speed_px_per_frame,early_to_late_dx_change_px,early_to_late_dy_change_px,slope_change_late_minus_early,horizontal_return_px,horizontal_return_ratio,x_range_px,late_horizontal_return_px,arm_side_net_dx_px,arm_side_net_dx_positive_px,late_arm_side_dx_px,arm_side_return_px,arm_side_return_ratio,arm_side_movement_bool,late_arm_side_movement_bool,pattern_curveball_score,pattern_fastball_score,pattern_changeup_score,rule_pattern_label,rule_pattern_margin,movement_category,horizontal_category,vertical_category,shape_category,horizontal_return_category,arm_side_return_category
pitch001,fastball,RHP,/mnt/data/ball_path001 fastball RHP.csv,ball_path001 fastball RHP.csv,91,87,0.9560439560439561,9,ok,24,110,86.0,0.7166666666666666,1838.462,755.385,1787.657,904.711,-50.805000000000064,149.32600000000002,50.805000000000064,149.32600000000002,157.7320585708562,631.0576060688653,157.7320585708562,0.2499487480286283,7.337879140335644,40.337427496061224,8.428990984247449,-0.5907558139534891,1.7363488372093026,2.9391988977462815,0.34022876123381096,41.085339441216775,12.486829831853928,37.03236718600251,-20.281105141114782,0.028967539945762236,0.028967539945762236,-24.077999999999975,67.452,24.077999999999975,67.452,71.62068407939147,-2.801395464739599,2.4696787613583266,-19.432000000000016,23.711000000000013,19.432000000000016,23.711000000000013,30.656388322827613,-1.2202037875668996,1.0571168387181935,-7.295000000000073,58.16300000000001,7.295000000000073,58.16300000000001,58.618696624882425,-7.972995202193205,2.0935248794600865,16.7829999999999,-9.288999999999987,-5.171599737453606,2.326000000000022,0.027743320610687235,83.84000000000015,0.0,50.805000000000064,50.805000000000064,7.295000000000073,7.295000000000073,0.08701097328244346,True,True,0.061395879891524494,0.7901098722581567,0.253438963550967,fastball,0.5366709087071897,small_total,small_horizontal,medium_vertical,straightish,little_return,little_arm_return
pitch002,changeup,RHP,/mnt/data/ball_path002 changeup RHP.csv,ball_path002 changeup RHP.csv,91,87,0.9560439560439561,9,ok,24,110,86.0,0.7166666666666666,1903.077,735.385,1951.54,934.957,48.462999999999965,199.572,48.462999999999965,199.572,205.371968761562,602.1531235961794,205.371968761562,0.34106269769894965,7.0017805069323185,25.098445469789525,5.035891023000136,0.5635232558139531,2.3206046511627907,4.1180281864515225,0.2428346661856371,80.51422340990275,49.37117492385666,80.51422340990285,0.0,-0.006597732444294353,0.006597732444294353,-48.46199999999999,52.985000000000014,48.46199999999999,52.985000000000014,71.80512286041993,-1.0933308571664402,2.476038719324825,18.095000000000027,82.78899999999999,18.095000000000027,82.78899999999999,84.74342184500222,4.575241779497091,2.9221869601724904,78.82999999999993,63.798,78.82999999999993,63.798,101.41180258727279,0.8093111759482439,3.6218500924025996,127.29199999999992,10.812999999999988,1.902642033114684,0.0,0.0,105.95299999999997,0.0,-48.462999999999965,0.0,-78.82999999999993,0.0,0.0,False,False,0.11833093587836305,0.4032445011910055,0.32557410632525147,fastball,0.07767039486575406,small_total,small_horizontal,medium_vertical,moderate_break,little_return,little_arm_return
pitch003,curveball,RHP,/mnt/data/ball_path003 curveball RHP.csv,ball_path003 curveball RHP.csv,111,107,0.963963963963964,9,ok,24,130,106.0,0.8833333329999999,1783.077,552.308,1836.001,937.92,52.92399999999998,385.61199999999997,52.92399999999998,385.61199999999997,389.22688026394064,847.3343241961431,389.22688026394064,0.459354553626983,7.993720039586256,40.76901806519251,8.008731624333771,0.4992830188679243,3.6378490566037733,7.286146171869098,0.1372467661794757,40.405190857669844,21.754181282179356,0.6475924782715226,-40.405190857669965,0.07077385013293462,0.07077385013293462,22.54099999999994,71.25099999999998,22.54099999999994,71.25099999999998,74.73153070826258,3.1609511556718943,2.1351865916646453,18.23199999999997,80.95900000000006,18.23199999999997,80.95900000000006,82.98653809504292,4.440489249670919,2.3051816137511922,12.151000000000067,233.40199999999993,12.151000000000067,233.40199999999993,233.71807890062755,19.208460209036183,6.677659397160787,-10.389999999999873,162.15099999999995,16.047509053364287,13.048999999999978,0.19779303654525315,65.97299999999996,0.0,-52.92399999999998,0.0,-12.151000000000067,0.0,0.0,False,False,0.4092268802639406,0.6535739258965875,0.17440309583998176,fastball,0.24434704563264686,large_total,small_horizontal,large_vertical,high_break,little_return,little_arm_return
pitch004,fastball,RHP,/mnt/data/ball_path004 fastball RHP.csv,ball_path004 fastball RHP.csv,109,105,0.963302752293578,9,ok,24,128,104.0,0.8666666670000001,1864.615,1046.154,1799.689,949.373,-64.92599999999993,-96.78099999999995,64.92599999999993,96.78099999999995,116.54161246953802,433.4494792513354,116.54161246953802,0.26887011762208496,4.167783454339763,27.74352728115165,4.618145632972952,-0.6242884615384608,-0.9305865384615379,1.4906354927147838,0.6708548165445694,27.74352728115165,8.460038914472108,14.663928126502332,-27.17632836792827,-0.004316296824834531,0.004316296824834531,-41.29500000000007,-62.24699999999996,41.29500000000007,62.24699999999996,74.69917023635537,1.5073737740646531,2.1342620067530107,-4.788999999999987,-14.900000000000091,4.788999999999987,14.900000000000091,15.650703530512697,3.111296721653817,0.4471629580146485,-18.84199999999987,-19.6339999999999,18.84199999999987,19.6339999999999,27.2124037894485,1.0420337543785179,0.8003648173367206,22.453000000000202,42.613000000000056,-0.46534001968613525,0.7509999999999764,0.011434748846627851,65.67699999999991,0.0,64.92599999999993,64.92599999999993,18.84199999999987,18.84199999999987,0.2868888652039511,True,True,0.0,0.7390728375659633,0.3432476011415052,fastball,0.3958252364244581,small_total,small_horizontal,medium_vertical,straightish,little_return,some_arm_return
pitch006,curveball,RHP,/mnt/data/ball_path006 curveball RHP.csv,ball_path006 curveball RHP.csv,96,92,0.9583333333333334,11,ok,24,115,91.0,0.7583333329999999,1676.923,993.846,1550.234,946.842,-126.68900000000008,-47.00400000000002,126.68900000000008,47.00400000000002,135.1276386865397,567.84722417751,135.1276386865397,0.23796477808316022,6.240079386566045,18.737618978941835,4.074769924997141,-1.392186813186814,-0.5165274725274728,0.37101879405473237,2.6952812526593486,83.68158612044466,34.82915657822053,83.68158612044469,-45.60481276739618,0.017378229498013882,0.017378229498013882,-62.56400000000008,-96.08100000000002,62.56400000000008,96.08100000000002,114.65519027501551,1.5357234192187184,3.8218396758338504,-47.85799999999995,27.149,47.85799999999995,27.149,55.02232605951874,-0.5672823770320538,1.7749137438554432,-16.267000000000053,21.927999999999997,16.267000000000053,21.927999999999997,27.30297553381319,-1.3480051638286055,0.9100991844604397,46.297000000000025,118.00900000000001,-2.883728583047324,21.00299999999993,0.14220810876689277,147.692,0.0,126.68900000000008,126.68900000000008,16.267000000000053,16.267000000000053,0.11014137529453222,True,True,0.0762170006826949,0.19752559606600953,0.3298362645511809,changeup,0.1323106684851714,small_total,small_horizontal,small_vertical,moderate_break,some_return,little_arm_return
pitch007,fastball,RHP,/mnt/data/ball_path007 fastball RHP.csv,ball_path007 fastball RHP.csv,91,87,0.9560439560439561,11,ok,24,110,86.0,0.7166666666666666,1753.846,950.769,1660.927,796.351,-92.9190000000001,-154.418,92.9190000000001,154.418,180.21892044122342,719.4131644301891,180.21892044122342,0.25050823275379697,8.365269353839409,38.27124001126698,8.00002288357447,-1.0804534883720942,-1.7955581395348839,1.6618560251401742,0.6017368441502939,46.25281999022183,25.458762437292357,46.25281999022182,-24.797030256639918,-0.005348291554186224,0.005348291554186224,-23.823000000000093,-114.39499999999998,23.823000000000093,114.39499999999998,116.84926766565549,4.801872140368532,4.029285091919155,-30.951999999999998,-4.951999999999998,30.951999999999998,4.951999999999998,31.345631402158737,0.15998966141121732,1.0808838414537496,-38.144000000000005,-35.071000000000026,38.144000000000005,35.071000000000026,51.816404516330564,0.9194368708053697,1.8505858755832345,-14.320999999999913,79.32399999999996,-3.8824352695631625,0.0,0.0,92.9190000000001,0.0,92.9190000000001,92.9190000000001,38.144000000000005,38.144000000000005,0.4105080769272158,True,True,0.027534400000000004,0.6873993382426848,0.37102275557072595,fastball,0.3163765826719589,small_total,small_horizontal,medium_vertical,straightish,little_return,some_arm_return
pitch008,fastball,RHP,/mnt/data/ball_path008 fastball RHP.csv,ball_path008 fastball RHP.csv,91,87,0.9560439560439561,11,ok,24,110,86.0,0.7166666666666666,1843.077,935.385,1744.54,902.943,-98.53700000000003,-32.44200000000001,98.53700000000003,32.44200000000001,103.74017415157932,589.4744187115838,103.74017415157932,0.1759875761501654,6.854353705948649,41.457101587062205,6.986785329381776,-1.1457790697674424,-0.377232558139535,0.3292367334097851,3.037328154860983,47.53072513446259,25.89983022518927,47.530725134462614,-20.746920906988205,0.01774801514310891,0.01774801514310891,-88.3889999999999,-48.822,88.3889999999999,48.822,100.97624970754252,0.5523537996809564,3.481939645087673,-3.7800000000002,-13.480999999999995,3.7800000000002,13.480999999999995,14.000920005485403,3.5664021164019264,0.482790345016738,-6.367999999999938,29.86099999999999,6.367999999999938,29.86099999999999,30.532453962955525,-4.689227386934717,1.0904447843912688,82.02099999999996,78.68299999999999,-5.241581186615673,12.951000000000022,0.11616496842709544,111.48800000000006,0.0,98.53700000000003,98.53700000000003,6.367999999999938,6.367999999999938,0.05711825487944833,True,True,0.015496030286217816,0.43402903868768805,0.2127650504005161,fastball,0.22126398828717195,small_total,small_horizontal,small_vertical,straightish,little_return,little_arm_return
pitch009,changeup,LHP,/mnt/data/ball_path009 changeup LHP.csv,ball_path009 changeup LHP.csv,91,87,0.9560439560439561,11,ok,24,110,86.0,0.7166666666666666,1723.077,815.385,1817.699,1119.419,94.62200000000007,304.0340000000001,94.62200000000007,304.0340000000001,318.4179580990998,477.934809169975,318.4179580990998,0.6662372189464362,5.557381501976454,18.058670853637043,3.5952780892671354,1.1002558139534893,3.535279069767443,3.2131428209084554,0.3112217712492683,39.50597921391417,18.324284992009385,1.1878911800643086,-39.50597921391414,0.029717392121013392,0.029717392121013392,77.2170000000001,123.23900000000003,77.2170000000001,123.23900000000003,145.43148287080078,1.5960086509447386,5.014878719682786,22.251999999999953,119.93799999999987,22.251999999999953,119.93799999999987,121.98473407767042,5.389987416861412,4.206370140609325,-4.84699999999998,60.8570000000002,4.84699999999998,60.8570000000002,61.04971628107721,-12.55560140292974,2.1803470100384716,-82.06400000000008,-62.381999999999834,-14.15161005387448,9.655999999999949,0.09259863058363171,104.27800000000002,4.84699999999998,94.62200000000007,94.62200000000007,-4.84699999999998,0.0,0.0,True,False,0.22507994234112666,0.559788964869764,0.22464543275618035,fastball,0.3347090225286374,medium_total,small_horizontal,large_vertical,straightish,little_return,little_arm_return
pitch010,curveball,RHP,/mnt/data/ball_path010 curveball RHP.csv,ball_path010 curveball RHP.csv,91,87,0.9560439560439561,11,ok,24,110,86.0,0.7166666666666666,2040.0,769.231,1803.0,852.778,-237.0,83.54700000000003,237.0,83.54700000000003,251.2948491493608,631.8699670704092,251.2948491493608,0.39770025835293266,7.34732519849313,40.843299866685626,7.307071606496814,-2.755813953488372,0.9714767441860468,0.3525189873417723,2.8367266329132095,50.86413869318936,23.362945203451822,50.66687195976853,-14.119672416727783,0.0016261707272811816,0.0016261707272811816,-130.01099999999997,14.746999999999957,130.01099999999997,14.746999999999957,130.84469469565815,-0.1134288637115318,4.511886023988212,-65.644,30.114000000000033,65.644,30.114000000000033,72.2217954083115,-0.4587471817683266,2.490406738217638,-41.34500000000003,38.686000000000035,41.34500000000003,38.686000000000035,56.62168860957791,-0.9356875075583507,2.0222031646277823,88.66599999999994,23.939000000000078,-0.8222586438468189,0.0,0.0,241.49700000000007,0.0,237.0,237.0,41.34500000000003,41.34500000000003,0.17120295490213136,True,True,0.07772727272727273,0.3598328400883407,0.28426072066537983,fastball,0.07557211942296088,medium_total,medium_horizontal,small_vertical,straightish,little_return,some_arm_return
pitch011,fastball,RHP,/mnt/data/ball_path011 fastball RHP.csv,ball_path011 fastball RHP.csv,91,87,0.9560439560439561,11,ok,24,110,86.0,0.7166666666666666,1790.769,640.0,1677.284,832.196,-113.4849999999999,192.19600000000003,113.4849999999999,192.19600000000003,223.19979310250264,520.1306329046784,223.19979310250264,0.42912256841332264,6.048030615170679,27.373378764777925,5.522273692610455,-1.3195930232558128,2.234837209302326,1.6935806494250358,0.5904649420383352,49.0998494383332,29.218746994183373,49.09984943833322,-24.922159728191904,0.0033179764290374677,0.0033179764290374677,-95.45700000000011,66.98400000000004,95.45700000000011,66.98400000000004,116.61430060245624,-0.7017190986517485,4.021182779395042,-23.50299999999993,66.65899999999999,23.50299999999993,66.65899999999999,70.68106740846515,-2.8361911245373013,2.4372781864987982,5.475000000000136,58.553,5.475000000000136,58.553,58.80841295256999,10.694611872145853,2.100300462591785,100.93200000000024,-8.43100000000004,11.396330970797601,21.037000000000035,0.1530375446483784,137.46299999999997,5.475000000000136,113.4849999999999,113.4849999999999,-5.475000000000136,0.0,0.0,True,False,0.057756800000000025,0.5108339509258214,0.31672865623293317,fastball,0.19410529469288823,medium_total,small_horizontal,medium_vertical,straightish,some_return,little_arm_return
pitch012,fastball,RHP,/mnt/data/ball_path012 fastball RHP.csv,ball_path012 fastball RHP.csv,91,87,0.9560439560439561,11,ok,24,110,86.0,0.7166666666666666,1612.308,610.769,1573.06,804.46,-39.24800000000005,193.69100000000003,39.24800000000005,193.69100000000003,197.6274499784886,608.1698684209355,197.6274499784886,0.324954359366097,7.071742656057389,47.68737569839631,9.087863164016806,-0.4563720930232564,2.2522209302325584,4.93505401549123,0.2026320273012171,42.99527813026415,15.61982902703367,42.99527813026425,-32.9143671676584,0.003987900604107706,0.003987900604107706,-42.88499999999999,79.231,42.88499999999999,79.231,90.09258896268881,-1.8475224437448994,3.106640998713407,5.2560000000000855,65.19399999999996,5.2560000000000855,65.19399999999996,65.40552860423954,12.40372907153708,2.255363055318605,-1.6190000000001419,49.266000000000076,1.6190000000001419,49.266000000000076,49.29259495096609,-30.429894996909056,1.7604498196773604,41.26599999999985,-29.964999999999918,-28.582372553164156,20.365999999999985,0.2504950616828402,81.30300000000011,0.0,39.24800000000005,39.24800000000005,1.6190000000001419,1.6190000000001419,0.019913164335881084,True,True,0.05895280000000003,0.7200334440148991,0.30306227210844383,fastball,0.4169711719064553,small_total,small_horizontal,medium_vertical,straightish,some_return,little_arm_return
pitch013,changeup,LHP,/mnt/data/ball_path013 changeup LHP.csv,ball_path013 changeup LHP.csv,91,87,0.9560439560439561,11,ok,24,110,86.0,0.7166666666666666,1501.538,953.846,1789.37,1151.074,287.8319999999999,197.22800000000007,287.8319999999999,197.22800000000007,348.9214011894369,663.1845737596326,348.9214011894369,0.5261301528945115,7.711448532088752,35.2415967998046,6.37964397214805,3.346883720930231,2.293348837209303,0.6852191556185557,1.4593871052791683,92.83501689944696,48.72503567133729,0.0,-92.83501689944686,0.003975241605867247,0.003975241605867247,210.49299999999994,73.40499999999997,210.49299999999994,73.40499999999997,222.9250929662248,0.348728936354178,7.687072171249131,56.29600000000005,34.68900000000008,56.29600000000005,34.68900000000008,66.12538345446482,0.6161894273127762,2.280185636360856,21.042999999999893,89.13400000000001,21.042999999999893,89.13400000000001,91.58426614326282,4.2358028798175384,3.2708666479736723,-189.45000000000005,15.729000000000042,3.8870739434633603,7.553000000000111,0.02557001878903841,295.385,0.0,287.8319999999999,287.8319999999999,21.042999999999893,21.042999999999893,0.07123923015725203,True,True,0.3588224737661737,0.12832641735830336,0.29959434655413353,curveball,0.05922812721204018,medium_total,large_horizontal,medium_vertical,high_break,little_return,some_arm_return
pitch014,fastball,LHP,/mnt/data/ball_path014 fastball LHP.csv,ball_path014 fastball LHP.csv,91,87,0.9560439560439561,11,ok,24,110,86.0,0.7166666666666666,1572.308,1001.538,1951.783,1124.053,379.4749999999999,122.5150000000001,379.4749999999999,122.5150000000001,398.76208552218196,720.7392487367061,398.76208552218196,0.5532681704529374,8.380688938798908,31.40869331888851,6.351329026232675,4.412499999999999,1.424593023255815,0.3228539429474936,3.0973758315308295,44.01907140197162,21.35472258123626,20.433984713791684,-44.01907140197162,0.0009432049147231094,0.0009432049147231094,242.01999999999998,56.730999999999995,242.01999999999998,56.730999999999995,248.5801415258266,0.2344062474175688,8.571729018131952,98.3610000000001,30.271999999999935,98.3610000000001,30.271999999999935,102.91394611518896,0.3077642561584358,3.5487567625927228,39.093999999999824,35.51200000000017,39.093999999999824,35.51200000000017,52.8151775534268,0.9083746866526917,1.8862563411938142,-202.92600000000016,-21.218999999999824,0.673968439235123,9.75500000000011,0.02506230249466924,389.23,0.0,379.4749999999999,379.4749999999999,39.093999999999824,39.093999999999824,0.10043932893147964,True,True,0.3927854491585456,0.4091586991166811,0.24285505735995866,fastball,0.01637324995813555,large_total,large_horizontal,medium_vertical,straightish,little_return,some_arm_return
pitch015,changeup,LHP,/mnt/data/ball_path015 changeup LHP.csv,ball_path015 changeup LHP.csv,91,87,0.9560439560439561,11,ok,24,110,86.0,0.7166666666666666,1369.231,986.154,1502.517,1184.866,133.28600000000006,198.712,133.28600000000006,198.712,239.2731007447348,582.6738849916557,239.2731007447348,0.41064668746594224,6.775277732461112,28.42499584872438,4.583082683148394,1.5498372093023263,2.3106046511627905,1.4908692585867975,0.6707496276017556,117.04596736044209,63.367819824632754,21.62030947857744,-117.04596736044206,-0.008982426149742078,0.008982426149742078,148.461,21.53800000000001,148.461,21.53800000000001,150.01517911531488,0.14507513757821924,5.172937210872927,7.429000000000087,86.78700000000003,7.429000000000087,86.78700000000003,87.1043822663361,11.682191412033788,3.003599388494348,-22.604000000000042,90.38699999999994,22.604000000000042,90.38699999999994,93.17054569444139,-3.9987170412316306,3.327519489087192,-171.06500000000005,68.84899999999993,-4.14379217880985,32.86799999999994,0.19781648350325565,166.154,22.604000000000042,133.28600000000006,133.28600000000006,-22.604000000000042,0.0,0.0,True,False,0.19592524434380448,0.3044027165026829,0.40037938299093656,changeup,0.09597666648825365,medium_total,small_horizontal,medium_vertical,high_break,some_return,little_arm_return
